"","tweet","created","number"
"1","negativo",2018-06-11,49
"2","negativo",2018-06-12,16
"3","neutro",2018-06-11,10
"4","neutro",2018-06-12,1
"5","positivo",2018-06-11,7
"6","positivo",2018-06-12,2
