"","score","text"
"40",1,"RT @CdV_Canarias: Preguntar a un progre de dónde vienen los salarios y los precios es como preguntar a críos de seis años de dónde vienen l…"
"41",-2,"RT @evagarben: Hoy nos visita Ayelén Pierchurowicz, Reina Infantil del Carnaval de Santa Cruz de Tenerife 2018. Nuestra reinita es carnaval…"
"42",-3,"RT @NoelPrrr: Y si no, pero y si si?"
"43",-2,"Ayuntamiento de Alicante : policia de Alicante golpea  brutalmente perro e indigente - ¡Firma la p... https://t.co/oHtpAZZJGO vía @change_es"
"44",0,"@stamatire Qué pasa?"
"45",-1,"RT @CarreterasGC: Cierre de GC130 en su cruce con GC150 y GC600<ed><U+00A0><U+00BD><ed><U+00B3><U+008D> Los Marteles, por seguridad vial dadas las condiciones meteorológicas. htt…"
"46",-6,"No se que es peor pasarte 20 min en la planta que no es del hospital o tenee que esperar ahora la vida porque no ll… https://t.co/F48OPNA34j"
"47",-1,"@shakira Hola guapa buenos días mi amor que pases un magnífico dia Disfrútalo 
Besitos Francisco"
"48",-2,"RT @bunburycabron: @VctorSales @Cs_Petrer @jusapol @jusapolalicante Señores del gobierno, ¿de verdad que no están viendo que todos los ayun…"
"49",-3,"@Juan63736804 @ferprietop @___Maiden___ Sigue siendo indigno participar en algo propiciado por alguien que maximiza… https://t.co/SFTbHRNNfq"
"50",-4,"RT @bunburycabron: @CsCadiz_Prov @jusapol @sergioromeroj En un país en el que se habla tanto de igualdad, aún está @guardiacivil y @policia…"
"51",-1,"Esto salió en color, pero mis refranes nanai de la china"
"52",-1,"RT @chicharrero7: Continúa por el camino de la alegría...
Dónde la luz inunde tus sentidos, 
Dónde, el ser FELIZ, sea lo importante!
Buenos…"
"53",-2,"RT @bunburycabron: @lancelot_xbal @jusapol Estás son solo 3 fechas más, pero también se están preparando en otras ciudades. Esto no debe pa…"
"54",0,"@david_cg_artist Star Citizen. Aún está en fase alfa, p€ro pu€d€s jugar comprando una nav€ con din€ro r€al. El pack… https://t.co/ffhJ3GKWfo"
"55",0,"@MissSkarsgard Numfar es lo mejor. Que no sé si sabes quién es XD https://t.co/pMygHM8gNA"
"56",-2,"@LucasTeran11 Jajajajaja ya se bajaron la tanga?? Jaja 

Anda a entrenar delincuente"
"57",-2,"Las finales individuales infantiles y cadetes de #ajedrez en los #JuegosCabildoTF tomaron Playa San Juan el pasado… https://t.co/uCukEokJDG"
"58",1,"Los temas que estoy escuchando me traen recuerdos de 2016 <ed><U+00A0><U+00BD><ed><U+00B8><U+0082>"
"59",-5,"RT @bunburycabron: @gaceta_es No tiremos cohetes aún. Hasta que no se firme, no hay nada, así que se seguirá mostrando por todas España la…"
