"","score","text"
"43",0,"Primeras declaraciones de #Rajoy tras ser destituido como presidente del gobierno: https://t.co/imcJ05iiJx"
"44",-1,"Ahora que ya no es el presidente, ¿algun juez puede investigar cómo consiguió Rajoy su plaza de registrador de la p… https://t.co/cmmnkYjIm9"
"45",1,"Ahora que echan a Rajoy, en el @PPopular ya buscan una salida al famoso plasma de #Rajoy en la campaña de… https://t.co/SibK2v5Qfc"
"46",-1,"Orden de busca y captura  a #Rajoy
La Interpol registra restaurantes con <U+2B50><U+2B50><U+2B50> Michelín
#MocionCensura #RafaelHernando"
"47",0,"Los que tengan un chalet, no pueden votar una #MocionCensura contra #Rajoy"
"48",-3,"PPK en #Perú se opuso a la presencia de @NicolasMaduro en la cumbre de las Américas. #Rajoy enemigo acérrimo de… https://t.co/ygqR7jnCRi"
"49",-1,"¿Y si los políticos se vieran obligados a colaborar para sobrevivir? Prueba a este mod de #ThisWarOfMine con #Rajoy… https://t.co/tQyfBpd4rj"
"50",0,"El sainete
#MocionCensura #MociónDeCensura #Rajoy"
"51",-4,"RT @Marahersa: .@sanchezcastejon dejó su escaño por no ser cómplice de la corrupción del #PP. Hoy vuelve al Hemiciclo para evitar que los e…"
"52",-2,"@marianorajoy no le queda muy bien el traje de democrata.
Aqui en Catalunya hay gente que aun ganando elecciones es… https://t.co/Rsq2NzyIV4"
"53",-3,"RT @lourdes_2108: La #MociónDeCensura a #Rajoy está más animada que ir de compras con un cheque regalo de 6000 euros"
"54",-4,"No se extrañen si sale el señor #rajoy dimitiendo a través de un plasma, pero que lo haga!! #MocionCensura"
"55",-4,"Habla @Albert_Rivera, que me da que hoy pierde más que el PP. A ver cómo resuelve el papelón de quedarse solo al la… https://t.co/1zj9748cWw"
"56",-3,"La #MociónDeCensura a #Rajoy está más animada que ir de compras con un cheque regalo de 6000 euros"
"57",2,"Te puedes ir como #Zidane o te puedes ir como #Rajoy. Tú eliges."
"58",-1,"RT @DsDLaGuancha: Cospedal será la encargada de anunciar el despido en diferido de #Rajoy"
"59",-1,"Cospedal será la encargada de anunciar el despido en diferido de #Rajoy"
"60",0,"Rajoy alarga el almuerzo a merienda cena.
#MociónDeCensura #MocionCensura #Rajoy"
"61",-2,"#Zidane dimite y #Rajoy va camino de ello. En #Cataluña ya estudian si trasladar la Diada al #31DeMayo

#ZidaneDimite 
#MocionCensura"
"62",-1,"#rajoy saliendo del congreso este mediodia...
#MocionCensura #MociónOCorrupción https://t.co/YFglIZ17lq"
"63",-5,"@DonateMarrero @realmadrid O eso , o ... que el @PPopular le dijera Floren que hiciera algo para que todas las tele… https://t.co/iofoTQHtDE"
"64",-2,"Pues al final parece que se cargan a #Rajoy"
"65",-1,"Quizás fuera mejor #Zidane presidente y #Rajoy entrenador del Madrid, uno sabe cómo llegar a lo máximo, el otro cóm… https://t.co/3Yn3aHp1ZW"
"66",-3,"RT @JonayRLpez: #MocionOCorrupcion ya está bien de mezclar, @sanchezcastejon no tiene nada q ver con los ERE, pero, #Rajoy y su #gobierno a…"
"67",-3,"#MocionOCorrupcion ya está bien de mezclar, @sanchezcastejon no tiene nada q ver con los ERE, pero, #Rajoy y su… https://t.co/vGfgpz9CjC"
"68",-4,"Si no fuera por la ""mala prensa"" de él y lo que ""defiende"", #Rajoy sería un ""Animalón #POLITICO"", fuera ""#ElPutoAmo… https://t.co/OuBCRCpRm1"
"69",-4,"Si no fuera por la ""mala prensa"" de él y lo que ""defiende"", #Rajoy sería un ""Animalón #POLITICO"", fuera ""#ElPutoAmo… https://t.co/6P4e6g9D9U"
"70",-4,"Si no fuera por la ""mala prensa"" de él y lo que ""defiende"", #Rajoy sería un ""Animalón #POLITICO"", fuera ""#ElPutoAmo… https://t.co/oFRpcre7To"
"71",1,"RT @Marahersa: Los españoles no merecemos ser la vergüenza de Europa, la gran mayoría somos trabajadores decentes que hemos pagado una cris…"
"72",-4,"Si no fuera por la ""mala prensa"" de él y lo que ""defiende"", #Rajoy sería un ""Animalón #POLITICO"", fuera ""#ElPutoAmo… https://t.co/W8JlPc1YOq"
"73",-4,".@sanchezcastejon dejó su escaño por no ser cómplice de la corrupción del #PP. Hoy vuelve al Hemiciclo para evitar… https://t.co/65oZ8lvmKf"
"74",0,"Rajoy anuncia su participación en ‘¡Ahora caigo!’.  
#humor #risa #Rajoy #elguiño https://t.co/WSuYXlvslj"
"75",-1,"Aquí va un GRAN trabajo periodístico de @laSextaColumna con el #reportaje 'El postmarianismo va a llegar'. Un repas… https://t.co/TKu8U1Iom9"
"76",-4,"@joaquinkremel #franco #fraga #rajoy y ahora el #fariña este del #feijoo 
Con lo buena gente que allí hay y lo boni… https://t.co/giGgMyMU1w"
"77",-2,"El #GabineteSánchezARV da de entrada buena impresión.
Parece q @sanchezcastejon se ha rodeado d hombres/mujeres bie… https://t.co/qjaSdPh2xl"
"78",-1,"RT @JoseCardenosa: #JurassicWorld 25'1% en Telecinco. 
#JurassicWorld 15'3% en La 1. (Estreno)

Se emitió meses antes en #La1 y logró 10 pu…"
"79",-1,"#JurassicWorld 25'1% en Telecinco. 
#JurassicWorld 15'3% en La 1. (Estreno)

Se emitió meses antes en #La1 y logró… https://t.co/2FtTSHxtBu"
"80",-1,"Ayer, mientras editaba el video de #Rajoy y #Wallapop surgió esto... #epicsax #epicsaxguy #EpicSaxRajoy https://t.co/cjgO8BzLKJ"
"81",0,"#Rajoy is gone but the #Neoliberal plunder in #Spain continues in the hands of the #PSOE with @sanchezcastejon"
"82",-1,"@esRadio Vas a extrañar a #rajoy que estos rojos se cargan al país de nuevo"
