"","score","text"
"39",1,"Si se rompe España no será por los nacionalistas, será por el @PSOE
Es como si estuviese lleno de topos indepes...

https://t.co/LoQH0ZfU3Q"
"40",-5,"Super orgullosa d @GobiernoEspanol, d mi Presidente @sanchezcastejon y d nis chiquillos del @psoe. Nunca el nombre… https://t.co/XkxmSuW8Ok"
"41",-2,"<ed><U+00A0><U+00BD><ed><U+00B3><U+00BB> @mgcejascs ""Al PSOE le ofrecimos la posibilidad de apoyar la moción de censura a cambio de convocar elecciones y… https://t.co/jS9MnAkGwM"
"42",-5,"<ed><U+00A0><U+00BD><ed><U+00B3><U+00BB> @mgcejascs ""El PSOE ha levantado el control del gasto a los que quieren romper España, y ha anunciado reformas de… https://t.co/hvkxBn5yLc"
"43",-2,"<ed><U+00A0><U+00BD><ed><U+00B3><U+00BB> @mgcejascs ""Los casos de corrupción que afectan tanto al PP como al PSOE (caso ERE que sale en Otoño) están afect… https://t.co/wbi35HUpWi"
"44",-2,"Dos altos cargos de la exministra Corredor (PSOE) declaran por corrupción. Algunos miembros de la Mesa de contratac… https://t.co/ivdqwqLE45"
"45",-2,"RT @JacaPaca68: Mi @Juanjocardona_  pasó d modesto sueldo como portavoz d @PPLPGC a remuneración holgada acorde a cargo d Presidente d Puer…"
"46",0,"RT @MVidaller: El PSOE tiene 77 casos de corrupción abiertos https://t.co/mgrEl5JlAM"
"47",-5,"@yolandacmorin @republicano1945 @PSOE Sienta a un pobre a tu mesa, a ver lo que aguantas, coño."
"48",0,"El PSOE tiene 77 casos de corrupción abiertos https://t.co/mgrEl5JlAM"
"49",-4,"RT @CSIFCPTenerife: Pasan los días y las noches de encierro y lo único que pedimos es que nuestros superiores nos escuchen. @sanchezcastejo…"
"50",0,"El PSOE de Haría, sorprendido ante la ''peatonalización secreta'' de Punta Mujeres https://t.co/8roiYsr3HZ"
"51",-7,"La 'altavoz' del gobierno del @PSOE (Políticos del Sindicato del Opio y la Extorsión) modificó la 'tablita ética' d… https://t.co/vHR3CMYOE0"
"52",-3,"@sanchezcastejon Mucha suerte. Os han dejado un país sumido en la miseria y la vergüenza. A ver qué podéis hacer. P… https://t.co/bloLoMub9F"
"53",-3,"RT @psoearucas: Hoy hemos estado acompañando a los compañeros y compañeras del PSOE Santa Brígida en la reapertura de la Casa del Pueblo. A…"
"54",0,"@okdiario Y por qué no vamos a rescatarlos en alta mar con una o varias embarcaciones bien acondicionadas  y los tr… https://t.co/mBbHP0twdY"
"55",-2,"RT @camejo5112: #Aquarius El Ministro del Interior italiano se descojona de España...
(@sanchezcastejon #PSOE, ¡háztelo mirar! <ed><U+00A0><U+00BD><ed><U+00B8><U+00AC>) https://t…"
"56",-2,"RT @CsCanarias: <ed><U+00A0><U+00BC><ed><U+00B6><U+0095> @jcmartinCs afirma que “IR-Verdes, SSP y PSOE vuelven a darle la espalda a los residentes al votar en contra de la moción…"
"57",-2,"<ed><U+00A0><U+00BC><ed><U+00B6><U+0095> @jcmartinCs afirma que “IR-Verdes, SSP y PSOE vuelven a darle la espalda a los residentes al votar en contra de l… https://t.co/nbXCzfZraz"
"58",-2,"RT @CsCanarias: <ed><U+00A0><U+00BD><ed><U+00B3><U+00BB> @mgcejascs ""El PP y el PSOE llevan 25 años sosteniendo a Coalición Canaria. Todos sabemos que CC es la 3ª fuerza en númer…"
"59",-4,"RT @CsCanarias: <ed><U+00A0><U+00BD><ed><U+00B3><U+00BB> @mgcejascs ""El PSOE votó que NO hace dos semanas al mayor presupuesto de la historia para Canarias, y ahora dicen que van…"
"60",-4,"@abc_es @vic_almiron Dios mío pero que estamos viviendo señor... <ed><U+00A0><U+00BE><ed><U+00B4><U+00A6><U+200D><U+2642><U+FE0F> enserio que esta gente va a empezar así ?? @PSOE"
"61",-2,"RT @CsCanarias: <ed><U+00A0><U+00BD><ed><U+00B3><U+00BB> @mgcejascs ""Los casos de corrupción que afectan tanto al PP como al PSOE (caso ERE que sale en Otoño) están afectando a l…"
"62",-3,"<ed><U+00A0><U+00BD><ed><U+00B3><U+00BB> @mgcejascs ""El PSOE votó que NO hace dos semanas al mayor presupuesto de la historia para Canarias, y ahora dicen… https://t.co/obwD1Z97jz"
"63",-2,"<ed><U+00A0><U+00BD><ed><U+00B3><U+00BB> @mgcejascs ""El PP y el PSOE llevan 25 años sosteniendo a Coalición Canaria. Todos sabemos que CC es la 3ª fuerza… https://t.co/1dnx69q6W5"
"64",-1,"<ed><U+00A0><U+00BD><ed><U+00B3><U+00BB> @mgcejascs ""Al PSOE le ofrecimos la posibilidad de apoyar la moción de censura a cambio de convocar elecciones y… https://t.co/jS9MnAkGwM"
"65",-5,"<ed><U+00A0><U+00BD><ed><U+00B3><U+00BB> @mgcejascs ""El PSOE ha levantado el control del gasto a los que quieren romper España, y ha anunciado reformas de… https://t.co/hvkxBn5yLc"
"66",-2,"<ed><U+00A0><U+00BD><ed><U+00B3><U+00BB> @mgcejascs ""Los casos de corrupción que afectan tanto al PP como al PSOE (caso ERE que sale en Otoño) están afect… https://t.co/wbi35HUpWi"
