"","tweet","created","number"
"1","negativo",2018-06-02,1
"2","negativo",2018-06-03,1
"3","negativo",2018-06-04,4
"4","negativo",2018-06-05,3
"5","negativo",2018-06-06,4
"6","negativo",2018-06-08,4
"7","negativo",2018-06-09,2
"8","negativo",2018-06-10,3
"9","negativo",2018-06-11,4
"10","neutro",2018-06-02,1
"11","neutro",2018-06-03,3
"12","neutro",2018-06-04,1
"13","neutro",2018-06-05,3
"14","neutro",2018-06-06,1
"15","positivo",2018-06-02,2
"16","positivo",2018-06-08,1
